molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,target,is_outlier,molwt,LogP,TPSA,HBD,HBA,RotB,violation_count,passes_lipinski,passes_veber
CHEMBL5630679,=,=,nM,6270.0,uM,6.27,DPP4,True,507.54000000000025,2.534200000000001,95.07,0.0,7.0,5.0,1.0,True,True
CHEMBL260553,=,=,nM,6900.0,uM,6.9,aromatase,False,396.4390000000002,4.786000000000005,111.13,4.0,6.0,4.0,0.0,True,True
CHEMBL5630820,=,=,nM,7320.0,uM,7.32,PTP1B,False,516.5570000000002,2.1642,138.21,0.0,9.0,6.0,1.0,True,True
CHEMBL5630679,=,=,nM,7960.0,uM,7.96,PTP1B,False,507.54000000000025,2.534200000000001,95.07,0.0,7.0,5.0,1.0,True,True
CHEMBL275638,=,=,nM,8000.0,uM,8.0,aromatase,False,222.243,3.4600000000000017,30.21,0.0,2.0,1.0,0.0,True,True
CHEMBL5630880,=,=,nM,8010.0,uM,8.01,DPP4,True,428.37200000000007,2.823900000000001,91.83,0.0,6.0,3.0,0.0,True,True
CHEMBL5630820,=,=,nM,8030.0,uM,8.03,DPP4,True,516.5570000000002,2.1642,138.21,0.0,9.0,6.0,1.0,True,True
CHEMBL169,=,=,nM,8900.0,uM,8.9,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL5630847,=,=,nM,9370.0,uM,9.37,PTP1B,False,454.4860000000003,0.7348999999999999,138.21,0.0,9.0,5.0,0.0,True,True
CHEMBL1778899,=,=,nM,9900.0,uM,9.9,PTP1B,False,363.2070000000001,4.068000000000003,55.760000000000005,1.0,4.0,5.0,0.0,True,True
CHEMBL275638,=,=,nM,10000.0,uM,10.0,aromatase,False,222.243,3.4600000000000017,30.21,0.0,2.0,1.0,0.0,True,True
CHEMBL28,=,=,nM,10000.0,uM,10.0,aromatase,False,270.24,2.576800000000001,90.9,3.0,5.0,1.0,0.0,True,True
CHEMBL50,=,=,nM,12000.0,uM,12.0,aromatase,False,302.23800000000006,1.988,131.36,5.0,7.0,1.0,0.0,True,True
CHEMBL1778898,=,=,nM,13700.0,uM,13.7,PTP1B,False,349.18000000000006,3.7650000000000015,66.76,2.0,4.0,4.0,0.0,True,True
CHEMBL5629890,=,=,nM,14510.0,uM,14.51,PTP1B,False,473.38300000000015,2.6538000000000013,88.4,0.0,8.0,3.0,0.0,True,True
CHEMBL5630729,=,=,nM,15400.0,uM,15.4,PTP1B,False,378.4060000000001,1.2959,96.38,1.0,8.0,4.0,0.0,True,True
CHEMBL169,=,=,nM,15500.0,uM,15.5,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,15500.0,uM,15.5,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,15500.0,uM,15.5,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL5630847,=,=,nM,16210.0,uM,16.21,DPP4,True,454.4860000000003,0.7348999999999999,138.21,0.0,9.0,5.0,0.0,True,True
CHEMBL1778898,=,=,nM,16390.0,uM,16.39,DPP4,True,349.18000000000006,3.7650000000000015,66.76,2.0,4.0,4.0,0.0,True,True
CHEMBL229789,=,=,nM,16500.0,uM,16.5,PTP1B,False,338.40300000000013,4.616000000000004,55.760000000000005,1.0,4.0,4.0,0.0,True,True
CHEMBL9352,=,=,nM,17000.0,uM,17.0,aromatase,True,272.25600000000003,2.509900000000002,86.99000000000001,3.0,5.0,1.0,0.0,True,True
CHEMBL139702,=,=,nM,19100.0,uM,19.1,PTP1B,False,338.4030000000001,4.466100000000004,66.76,2.0,4.0,6.0,0.0,True,True
CHEMBL139702,=,=,nM,19100.0,uM,19.1,PTP1B,False,338.4030000000001,4.466100000000004,66.76,2.0,4.0,6.0,0.0,True,True
CHEMBL139702,=,=,nM,19100.0,uM,19.1,PTP1B,False,338.4030000000001,4.466100000000004,66.76,2.0,4.0,6.0,0.0,True,True
CHEMBL323197,=,=,nM,20700.0,uM,20.7,aromatase,True,410.46600000000024,5.089000000000003,100.13,3.0,6.0,5.0,1.0,True,True
CHEMBL169,=,=,nM,22200.0,uM,22.2,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL165,=,=,nM,22500.0,uM,22.5,aromatase,True,228.247,2.9738000000000016,60.69,3.0,3.0,2.0,0.0,True,True
CHEMBL50,=,=,nM,23300.0,uM,23.3,PTP1B,False,302.23800000000006,1.988,131.36,5.0,7.0,1.0,0.0,True,True
CHEMBL50,=,=,nM,23300.0,uM,23.3,PTP1B,False,302.23800000000006,1.988,131.36,5.0,7.0,1.0,0.0,True,True
CHEMBL165,=,=,nM,25000.0,uM,25.0,aromatase,True,228.247,2.9738000000000016,60.69,3.0,3.0,2.0,0.0,True,True
CHEMBL165,=,=,nM,25000.0,uM,25.0,aromatase,True,228.247,2.9738000000000016,60.69,3.0,3.0,2.0,0.0,True,True
CHEMBL165,=,=,nM,25000.0,uM,25.0,aromatase,True,228.247,2.9738000000000016,60.69,3.0,3.0,2.0,0.0,True,True
CHEMBL165,=,=,nM,25003.45,,4.602,aromatase,True,228.247,2.9738000000000016,60.69,3.0,3.0,2.0,0.0,True,True
