molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,target
CHEMBL158635,=,=,nM,550.0,uM,0.55,aromatase
CHEMBL162496,=,=,nM,15.0,nM,15.0,aromatase
CHEMBL161530,=,=,nM,2100.0,uM,2.1,aromatase
CHEMBL290309,=,=,nM,4400.0,uM,4.4,aromatase
CHEMBL292899,=,=,nM,380.0,uM,0.38,aromatase
CHEMBL298720,=,=,nM,1380.0,uM,1.38,aromatase
CHEMBL355905,=,=,nM,860.0,uM,0.86,aromatase
CHEMBL1203757,=,=,nM,17.6,nM,17.6,aromatase
CHEMBL468419,=,=,nM,6.4,nM,6.4,aromatase
CHEMBL468419,=,=,nM,0.03,nM,0.03,aromatase
CHEMBL53290,=,=,nM,220.0,uM,0.22,aromatase
CHEMBL40432,=,=,nM,940.0,uM,0.94,aromatase
CHEMBL78322,=,=,nM,940.0,uM,0.94,aromatase
CHEMBL56059,=,=,nM,6000.0,uM,6.0,aromatase
CHEMBL2113524,=,=,nM,2700.0,uM,2.7,aromatase
CHEMBL291279,=,=,nM,10000.0,uM,10.0,aromatase
CHEMBL55083,=,=,nM,2400.0,uM,2.4,aromatase
CHEMBL161230,=,=,nM,240.0,uM,0.24,aromatase
CHEMBL52509,=,=,nM,6400.0,uM,6.4,aromatase
CHEMBL55558,=,=,nM,3900.0,uM,3.9,aromatase
CHEMBL9298,=,=,nM,52.0,uM,0.052,aromatase
CHEMBL1203762,=,=,nM,2.0,nM,2.0,aromatase
CHEMBL39248,=,=,nM,4400.0,uM,4.4,aromatase
CHEMBL132530,=,=,nM,370.0,uM,0.37,aromatase
CHEMBL421829,=,=,nM,89.0,uM,0.089,aromatase
CHEMBL300109,=,=,nM,160.0,uM,0.16,aromatase
CHEMBL162834,=,=,nM,14.1,nM,14.1,aromatase
CHEMBL488,=,=,nM,1700.0,M,0.0000017,aromatase
CHEMBL488,=,=,nM,30000.0,uM,30.0,aromatase
CHEMBL288190,=,=,nM,350.0,uM,0.35,aromatase
CHEMBL39434,=,=,nM,1200.0,uM,1.2,aromatase
CHEMBL53068,=,=,nM,170.0,uM,0.17,aromatase
CHEMBL158984,=,=,nM,100.0,uM,0.1,aromatase
CHEMBL157925,=,=,nM,3700.0,uM,3.7,aromatase
CHEMBL348913,=,=,nM,14.3,nM,14.3,aromatase
CHEMBL9298,=,=,nM,4.6,nM,4.6,aromatase
CHEMBL123494,=,=,nM,4100.0,uM,4.1,aromatase
CHEMBL70901,=,=,nM,4600.0,uM,4.6,aromatase
CHEMBL2051951,=,=,nM,19000.0,uM,19.0,aromatase
CHEMBL124230,=,=,nM,23000.0,uM,23.0,aromatase
CHEMBL9687,=,=,nM,8000.0,uM,8.0,aromatase
CHEMBL488,=,=,nM,6130.0,uM,6.13,aromatase
CHEMBL488,=,=,nM,8300.0,uM,8.3,aromatase
CHEMBL9298,=,=,nM,200.0,uM,0.2,aromatase
