molecule_chembl_id,canonical_smiles
CHEMBL65328,Cc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1
CHEMBL294361,COc1ccc2c(c1)C1C(CC2)C1c1ccncc1
CHEMBL419619,COc1cc2c(cc1Br)CCC1C(c3ccncc3)C21
CHEMBL65590,Oc1cccc2c1CCC1C(c3ccncc3)C21
CHEMBL63336,COc1ccc(Br)c2c1CCC1C(c3ccncc3)C21
CHEMBL66867,COc1ccc2c(c1)C1C(CC2)C1(C)c1ccncc1
CHEMBL63297,Fc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1
CHEMBL304788,Clc1ccc(C(C2Cc3ccccc3O2)n2cncn2)c(Cl)c1
CHEMBL66673,COc1cccc2c1CCC1C(c3ccncc3)C21
CHEMBL304583,Oc1ccc2c(c1)C1C(CC2)C1c1ccncc1
CHEMBL304222,Oc1ccc2c(c1)CCC1C(c3ccncc3)C21
CHEMBL67842,COc1ccc2c(c1)CCC1C(c3ccncc3)C21
CHEMBL99057,C[C@]12CCC3C(CCC4=C(O)C(=O)CC[C@@]43C(F)F)C1CCC2=O
CHEMBL317581,Clc1ccc(COC(Cn2cccc2)c2ccc(Cl)cc2Cl)cc1
CHEMBL108646,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(F)c2)n2cnnc2)cc1
CHEMBL108425,N#Cc1ccc(N(Cc2ccc(Br)cc2)n2cnnc2)cc1
CHEMBL108483,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(Br)c2)n2cnnc2)cc1
CHEMBL322322,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(Cl)c2)n2cnnc2)cc1
CHEMBL430879,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)cc2)n2cnnc2)cc1
CHEMBL325346,N#Cc1ccc(N(Cc2cccc(OS(N)(=O)=O)c2)n2cnnc2)cc1
CHEMBL132072,C[C@@H]1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C
