molecule_chembl_id,molwt,LogP,TPSA,HBD,HBA,RotB
CHEMBL1778904,435.2700000000001,4.001300000000003,82.06,1,6,8
CHEMBL1778905,463.3240000000001,4.781500000000006,82.06,1,6,10
CHEMBL1778907,435.27000000000027,4.303000000000003,93.06000000000002,2,5,9
CHEMBL1778908,453.2880000000002,5.2786000000000035,72.83000000000001,1,5,6
CHEMBL1778909,532.1840000000002,6.041100000000004,72.83000000000001,1,5,6
CHEMBL1778910,509.3960000000003,6.576100000000006,72.83000000000001,1,5,6
CHEMBL1778911,503.37000000000023,5.135520000000003,89.9,1,6,7
CHEMBL1778912,427.27200000000016,3.397800000000002,89.9,1,6,6
CHEMBL1778913,348.1960000000001,3.6416000000000013,72.55,2,4,4
CHEMBL1778914,348.1960000000001,3.6416000000000013,72.55,2,4,4
CHEMBL1778916,376.2500000000001,4.1254000000000035,49.77,1,4,5
CHEMBL1778917,376.2500000000001,4.1254000000000035,49.77,1,4,5
CHEMBL1778918,420.25900000000024,3.8541000000000025,68.23,1,6,5
CHEMBL1778919,428.32600000000014,5.237800000000005,49.77000000000001,1,4,9
CHEMBL1778920,428.32600000000014,5.2378000000000045,49.77000000000001,1,4,9
CHEMBL1778921,428.32600000000014,5.237800000000005,49.77000000000001,1,4,9
CHEMBL1778922,416.3150000000003,5.049700000000004,49.77,1,4,5
CHEMBL1778923,416.3150000000003,5.049700000000004,49.77,1,4,5
CHEMBL1778924,416.3150000000003,5.049700000000004,49.77,1,4,5
CHEMBL1778925,399.2440000000001,4.2451000000000025,64.35,1,5,5
CHEMBL1778926,418.28700000000026,3.8960000000000026,59.0,1,5,5
CHEMBL1778927,426.2880000000001,3.430900000000002,92.69999999999999,2,5,6
CHEMBL1778928,508.41200000000026,6.609200000000005,75.63,2,4,6
CHEMBL1778929,389.2450000000001,4.493500000000004,66.76,2,4,6
CHEMBL1778930,417.2990000000002,5.273700000000003,66.76,2,4,6
CHEMBL1778931,417.2990000000001,5.444600000000005,66.76,2,4,6
CHEMBL1779050,403.27200000000016,4.7965000000000035,55.760000000000005,1,4,7
CHEMBL1779051,431.32600000000025,5.576700000000003,55.760000000000005,1,4,7
CHEMBL1779052,431.32600000000014,5.747600000000006,55.760000000000005,1,4,7
CHEMBL1779053,485.41800000000023,7.084000000000007,55.760000000000005,1,4,9
CHEMBL1779054,417.2990000000001,5.444600000000005,66.76,2,4,6
CHEMBL1779055,501.4170000000003,6.644400000000005,64.99000000000001,1,5,8
CHEMBL1779056,501.4170000000003,6.644400000000006,64.99000000000001,1,5,8
